URL,Core Vitals Assessment,First Contentful Paint (FCP),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),Total Blocking Time (TBT),Speed Index,Timestamp (UTC)
https://www.anxietyuk.org.uk/anxiety-type/social-anxiety/,SLOW,1.0 s (SLOW),3.2 s (SLOW),0.004 (FAST),490 ms,2.8 s,2025-07-05T12:53:51.778Z
https://www.anxietyuk.org.uk/anxiety-type/stress/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.004 (FAST),710 ms,3.5 s,2025-07-05T12:54:31.027Z
https://www.anxietyuk.org.uk/anxiety-type/toilet-phobia/,SLOW,0.8 s (SLOW),1.4 s (SLOW),0.004 (FAST),650 ms,3.6 s,2025-07-05T12:55:10.147Z
https://www.anxietyuk.org.uk/anxiety-type/travel-anxiety/,SLOW,0.9 s (SLOW),1.7 s (SLOW),0.004 (FAST),640 ms,3.5 s,2025-07-05T12:55:45.787Z
https://www.anxietyuk.org.uk/anxiety-type/tricholtillomania/,SLOW,0.9 s (SLOW),1.6 s (SLOW),0.004 (FAST),490 ms,2.7 s,2025-07-05T12:56:23.541Z
https://www.anxietyuk.org.uk/anxiety-type/zoophobia/,SLOW,1.0 s (SLOW),1.6 s (SLOW),0.004 (FAST),390 ms,2.7 s,2025-07-05T12:56:57.582Z
https://www.anxietyuk.org.uk/menopause-and-anxiety-2/,SLOW,0.8 s (SLOW),1.9 s (SLOW),0.003 (FAST),770 ms,3.4 s,2025-07-05T12:57:28.817Z
https://www.anxietyuk.org.uk/products/book/overcoming-series/overcoming-childs-fears-worries-cathy-creswell-lucy-willetts/,SLOW,1.0 s (SLOW),3.9 s (SLOW),0.011 (FAST),660 ms,4.0 s,2025-07-05T12:58:10.565Z
https://www.anxietyuk.org.uk/products/anxiety-condition/anxiety/facing-might-fears-about-trying-new-things/,SLOW,0.8 s (SLOW),3.4 s (SLOW),0.011 (FAST),580 ms,3.6 s,2025-07-05T12:58:49.710Z
https://www.anxietyuk.org.uk/products/children-and-anxiety/starving-anxiety-gremlin/,SLOW,0.8 s (SLOW),3.2 s (SLOW),0.013 (FAST),550 ms,3.5 s,2025-07-05T12:59:28.923Z
https://www.anxietyuk.org.uk/products/anxiety-condition/anxiety/facing-might-fears-about-health/,SLOW,0.8 s (SLOW),4.0 s (SLOW),0.009 (FAST),690 ms,4.9 s,2025-07-05T13:00:07.460Z
https://www.anxietyuk.org.uk/products/children-and-anxiety/children-and-young-people-booklet-instant-download/,SLOW,0.8 s (SLOW),3.9 s (SLOW),0.012 (FAST),560 ms,3.2 s,2025-07-05T14:45:34.288Z
